cnae_nota,id_cidade_empresa,regime_tributacao_empresa,id_servico_prestado_nota,quantidade_empresas,quantidade_notas,total_empresas_grupo,total_notas_grupo
1412602,7221,SIMPLES_NACIONAL,f8c767d6-d50c-4c8f-bca4-ae8abe4ce261,1,15,2,32
1412602,7994,SIMPLES_NACIONAL,42aa8788-b9a8-42f1-8de5-c4e69ec07535,1,1,3,5
1412602,7994,SIMPLES_NACIONAL,a4d91006-9e69-450f-adcc-46111e0d4045,1,2,3,5
1412602,7994,SIMPLES_NACIONAL,b4702133-762b-4084-8146-00becacb0fd8,1,2,3,5
1412602,8146,SIMPLES_NACIONAL,2d346793-a323-4a1e-b139-f65a8217ac5e,1,3,1,3
1412602,9668,SIMPLES_NACIONAL,98d52dc3-bd69-447c-8c49-4bab6500b359,1,34,2,35
1412602,9668,SIMPLES_NACIONAL,f1b491b7-a30e-454b-a343-913cfb79b9d4,1,1,2,35
1413402,9130,SIMPLES_NACIONAL,533f6502-a98e-4420-bcd5-73cb45102836,1,66,1,66
1414200,2743,SIMPLES_NACIONAL,3e7b2094-34c7-4949-8264-57106afb6026,1,1082,1,1082
1422300,9551,SIMPLES_NACIONAL,786de6ea-498c-4cac-b33d-a0c7583b0ba5,1,3,1,3
1539400,2174,SIMPLES_NACIONAL,2623ca6b-3eb2-463c-83a9-1d31fe857008,1,5,1,5
1622699,8377,NORMAL,71245b13-a702-452c-87b4-4063becc4c3e,1,8,1,8
1622699,8430,SIMPLES_NACIONAL,a34d9577-4338-4306-a90a-cca22df0e543,1,109,1,109
1622699,9432,NORMAL,060382c9-7ade-4b8f-bce8-50c70224d07b,1,1,1,1
1623400,1150,SIMPLES_NACIONAL,c8a0ba1a-a701-4805-a21d-f523c411e2cb,1,8,1,8
1623400,9058,SIMPLES_NACIONAL,66ee6a04-4e2d-417d-9586-5a4c484c7ecb,1,4,1,4
1629301,109,SIMPLES_NACIONAL,db6a0ae9-f58d-4e73-97db-09e67eae5990,1,14,1,14
